window,temperature,direction,lambda1,lambda2,alpha,uh,w0,pot_en,pert_en,metad_offset
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160143.6800433235,136.8521325929134,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160325.82472335073,156.38718893132943,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160107.80955623687,137.9684688939973,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160291.11073027263,126.38494528915216,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160483.0263452977,142.97119900981707,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160126.12830643108,140.2399887112092,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160119.0561077746,151.35595207263978,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-159995.62091312808,139.34815208256208,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-159855.59899029043,139.14911241209273,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160328.8621265088,131.19335151475408,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160472.4842588711,151.6390545847575,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160254.9897222945,158.85073804300447,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-159895.0966155108,160.82525443694053,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160574.27650380542,136.46499390603248,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160076.00829270176,139.7109443297153,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160185.44754383905,126.56402594130336,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160149.72587367546,135.15250734730523,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160234.61816285702,140.71573225218302,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160584.02914307063,131.9662573873746,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160391.31494058744,125.31549515169957,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160158.90738974247,139.85591062952687,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160436.39310033232,139.46672572570037,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160281.82100049395,151.32529421863327,0.0
1,300.0,1.0,0.0,0.1,0.1,110.0,0.0,-160460.7876452559,149.5394889191651,0.0
